3.12,0,0,0,0,0,3
4.44136,0,0,0,0,0,4
124,100,110,120,130,140,124
15.3,10,10,10,20,20,15
1220,1020,1110,1190,1270,1350,1220
140,120,130,140,150,150,140
1500,1260,1360,1460,1560,1660,1500
2500,2100,2070,2050,2020,2000,2500
2.86,0,0,0,0,0,2
4.62138,0,0,0,0,10,4
114,100,100,110,120,130,114
15.0,10,10,10,20,20,15
2900,2440,2330,2220,2110,2000,2900
190,160,170,180,200,210,190
1320,1110,1200,1280,1370,1460,1320
4700,3950,3460,2970,2490,2000,4700
3.15,0,0,0,0,0,3
3.67139,0,0,0,0,0,3
139,120,130,140,140,150,139
15.7,10,10,20,20,20,15
1310,1100,1190,1270,1360,1450,1310
250,210,230,240,260,280,250
1510,1270,1370,1470,1570,1670,1510
2200,1850,1890,1920,1960,2000,2200
2.94,0,0,0,0,0,2
4.40140,0,0,0,0,0,4
133,110,120,130,140,150,133
15.4,10,10,10,20,20,15
1220,1020,1110,1190,1270,1350,1220
88,70,80,90,90,100,88
1520,1280,1380,1480,1580,1680,1520
2200,1850,1890,1920,1960,2000,2200
2.85,0,0,0,0,0,2
3.77141,0,0,0,0,0,3
125,100,110,120,130,140,125
15.1,10,10,10,20,20,15
1790,1500,1620,1740,1860,1980,1790
260,220,240,250,270,290,260
1430,1200,1300,1390,1490,1580,1430
3800,3190,2890,2600,2300,2000,3800
2.97,0,0,0,0,0,2
4.22142,0,0,0,0,0,4
108,90,100,110,110,120,108
14.0,10,10,10,10,20,14
1310,1100,1190,1270,1360,1450,1310
41,30,40,40,40,50,41
1460,1230,1320,1420,1520,1610,1460
2500,2100,2070,2050,2020,2000,2500
3.14,0,0,0,0,0,3
4.12143,0,0,0,0,0,4
110,90,100,110,110,120,110
14.3,10,10,10,10,20,14
3080,2590,2440,2290,2150,2000,3080
85,70,80,80,90,90,85
1310,1100,1190,1270,1360,1450,1310
1400,1180,1270,1360,1450,1550,1400
3.37,0,0,0,0,0,3
4.22145,0,0,0,0,0,4
125,100,110,120,130,140,125
15.1,10,10,10,20,20,15
569,480,520,550,590,630,569
27,20,20,30,30,30,27
1690,1420,1530,1640,1760,1870,1690
1800,1510,1630,1750,1870,1990,1800
2.67,0,0,0,0,0,2
4.50146,0,0,0,0,0,4
120,100,110,120,120,130,120
14.4,10,10,10,10,20,14
678,570,610,660,700,750,678
67,60,60,70,70,70,67
1630,1370,1480,1590,1690,1800,1630
2100,1760,1820,1880,1940,2000,2100
2.73,0,0,0,0,0,2
4.55147,0,0,0,0,10,4
128,110,120,120,130,140,128
